ferramenta,tipo_template,recurso,peso
Escala Fugulin (SCP),escala,slides,1
Escala Fugulin (SCP),escala,infografico,1
Escala Fugulin (SCP),escala,biblioteca,2
Escala GDS,escala,calculadora,3
Escala GDS,escala,artigo,1
Escala GDS,escala,quiz,2
Escala GDS,escala,guia_bolso,1
Escala GDS,escala,flashcards,1
Escala GDS,escala,caso_clinico,2
Escala GDS,escala,checklist,2
Escala GDS,escala,slides,1
Escala GDS,escala,infografico,1
Escala GDS,escala,biblioteca,2
Escala Hamilton,escala,calculadora,3
Escala Hamilton,escala,artigo,1
Escala Hamilton,escala,quiz,2
Escala Hamilton,escala,guia_bolso,1
Escala Hamilton,escala,flashcards,1
Escala Hamilton,escala,caso_clinico,2
Escala Hamilton,escala,checklist,2
Escala Hamilton,escala,slides,1
Escala Hamilton,escala,infografico,1
Escala Hamilton,escala,biblioteca,2
Escala Hendrich II,escala,calculadora,3
Escala Hendrich II,escala,artigo,1
Escala Hendrich II,escala,quiz,2
Escala Hendrich II,escala,guia_bolso,1
Escala Hendrich II,escala,flashcards,1
Escala Hendrich II,escala,caso_clinico,2
Escala Hendrich II,escala,checklist,2
Escala Hendrich II,escala,slides,1
Escala Hendrich II,escala,infografico,1
Escala Hendrich II,escala,biblioteca,2
Escala Humpty-Dumpty,escala,calculadora,3
Escala Humpty-Dumpty,escala,artigo,1
Escala Humpty-Dumpty,escala,quiz,2
Escala Humpty-Dumpty,escala,guia_bolso,1
Escala Humpty-Dumpty,escala,flashcards,1
Escala Humpty-Dumpty,escala,caso_clinico,2
Escala Humpty-Dumpty,escala,checklist,2
Escala Humpty-Dumpty,escala,slides,1
Escala Humpty-Dumpty,escala,infografico,1
Escala Humpty-Dumpty,escala,biblioteca,2
Escala LANSS,escala,calculadora,3
Escala LANSS,escala,artigo,1
Escala LANSS,escala,quiz,2
Escala LANSS,escala,guia_bolso,1
Escala LANSS,escala,flashcards,1
Escala LANSS,escala,caso_clinico,2
Escala LANSS,escala,checklist,2
Escala LANSS,escala,slides,1
Escala LANSS,escala,infografico,1
Escala LANSS,escala,biblioteca,2
Escala Lawton,escala,calculadora,3
Escala Lawton,escala,artigo,1
Escala Lawton,escala,quiz,2
Escala Lawton,escala,guia_bolso,1
Escala Lawton,escala,flashcards,1
Escala Lawton,escala,caso_clinico,2
Escala Lawton,escala,checklist,2
Escala Lawton,escala,slides,1
Escala Lawton,escala,infografico,1
Escala Lawton,escala,biblioteca,2
Escala MEEM,escala,calculadora,3
Escala MEEM,escala,artigo,1
Escala MEEM,escala,quiz,2
Escala MEEM,escala,guia_bolso,1
Escala MEEM,escala,flashcards,1
Escala MEEM,escala,caso_clinico,2
Escala MEEM,escala,checklist,2
Escala MEEM,escala,slides,1
Escala MEEM,escala,infografico,1
Escala MEEM,escala,biblioteca,2
Escala MEOWS,escala,calculadora,3
Escala MEOWS,escala,artigo,1
Escala MEOWS,escala,quiz,2
Escala MEOWS,escala,guia_bolso,1
Escala MEOWS,escala,flashcards,1
Escala MEOWS,escala,caso_clinico,2
Escala MEOWS,escala,checklist,2
Escala MEOWS,escala,slides,1
Escala MEOWS,escala,infografico,1
Escala MEOWS,escala,biblioteca,2
Escala Manchester,escala,calculadora,3
Escala Manchester,escala,artigo,1
Escala Manchester,escala,quiz,2
Escala Manchester,escala,guia_bolso,1
Escala Manchester,escala,flashcards,1
Escala Manchester,escala,caso_clinico,2
Escala Manchester,escala,checklist,2
Escala Manchester,escala,slides,1
Escala Manchester,escala,infografico,1
Escala Manchester,escala,biblioteca,2
Escala MoCA,escala,calculadora,3
Escala MoCA,escala,artigo,1
Escala MoCA,escala,quiz,2
Escala MoCA,escala,guia_bolso,1
Escala MoCA,escala,flashcards,1
Escala MoCA,escala,caso_clinico,2
Escala MoCA,escala,checklist,2
Escala MoCA,escala,slides,1
Escala MoCA,escala,infografico,1
Escala MoCA,escala,biblioteca,2
Escala NEWS,escala,calculadora,3
Escala NEWS,escala,artigo,1
Escala NEWS,escala,quiz,2
Escala NEWS,escala,guia_bolso,1
Escala NEWS,escala,flashcards,1
Escala NEWS,escala,caso_clinico,2
Escala NEWS,escala,checklist,2
Escala NEWS,escala,slides,1
Escala NEWS,escala,infografico,1
Escala NEWS,escala,biblioteca,2
Escala NIHSS,escala,calculadora,3
Escala NIHSS,escala,artigo,1
Escala NIHSS,escala,quiz,2
Escala NIHSS,escala,guia_bolso,1
Escala NIHSS,escala,flashcards,1
Escala NIHSS,escala,caso_clinico,2
Escala NIHSS,escala,checklist,2
Escala NIHSS,escala,slides,1
Escala NIHSS,escala,infografico,1
Escala NIHSS,escala,biblioteca,2
Escala NIPS,escala,calculadora,3
Escala NIPS,escala,artigo,1
Escala NIPS,escala,quiz,2
Escala NIPS,escala,guia_bolso,1
Escala NIPS,escala,flashcards,1
Escala NIPS,escala,caso_clinico,2
Escala NIPS,escala,checklist,2
Escala NIPS,escala,slides,1
Escala NIPS,escala,infografico,1
Escala NIPS,escala,biblioteca,2
Escala Norton,escala,calculadora,3
Escala Norton,escala,artigo,1
Escala Norton,escala,quiz,2
Escala Norton,escala,guia_bolso,1
Escala Norton,escala,flashcards,1
Escala Norton,escala,caso_clinico,2
Escala Norton,escala,checklist,2
Escala Norton,escala,slides,1
Escala Norton,escala,infografico,1
Escala Norton,escala,biblioteca,2
Escala Numerica Dor,escala,calculadora,3
Escala Numerica Dor,escala,artigo,1
Escala Numerica Dor,escala,quiz,2
Escala Numerica Dor,escala,guia_bolso,1
Escala Numerica Dor,escala,flashcards,1
Escala Numerica Dor,escala,caso_clinico,2
Escala Numerica Dor,escala,checklist,2
Escala Numerica Dor,escala,slides,1
Escala Numerica Dor,escala,infografico,1
Escala Numerica Dor,escala,biblioteca,2
Escala OFRAS,escala,calculadora,3
Escala OFRAS,escala,artigo,1
Escala OFRAS,escala,quiz,2
Escala OFRAS,escala,guia_bolso,1
Escala OFRAS,escala,flashcards,1
Escala OFRAS,escala,caso_clinico,2
Escala OFRAS,escala,checklist,2
Escala OFRAS,escala,slides,1
Escala OFRAS,escala,infografico,1
Escala OFRAS,escala,biblioteca,2
Escala PAINAD,escala,calculadora,3
Escala PAINAD,escala,artigo,1
Escala PAINAD,escala,quiz,2
Escala PAINAD,escala,guia_bolso,1
Escala PAINAD,escala,flashcards,1
Escala PAINAD,escala,caso_clinico,2
Escala PAINAD,escala,checklist,2
Escala PAINAD,escala,slides,1
Escala PAINAD,escala,infografico,1
Escala PAINAD,escala,biblioteca,2
Escala PELOD,escala,calculadora,3
Escala PELOD,escala,artigo,1
Escala PELOD,escala,quiz,2
Escala PELOD,escala,guia_bolso,1
Escala PELOD,escala,flashcards,1
Escala PELOD,escala,caso_clinico,2
Escala PELOD,escala,checklist,2
