origem,tipo_origem,destino,tipo_destino,relacao,peso
artigo,recurso,Escala MEEM,ferramenta,renderiza,1
quiz,recurso,Escala MEEM,ferramenta,renderiza,2
guia_bolso,recurso,Escala MEEM,ferramenta,renderiza,1
flashcards,recurso,Escala MEEM,ferramenta,renderiza,1
caso_clinico,recurso,Escala MEEM,ferramenta,renderiza,2
checklist,recurso,Escala MEEM,ferramenta,renderiza,2
slides,recurso,Escala MEEM,ferramenta,renderiza,1
infografico,recurso,Escala MEEM,ferramenta,renderiza,1
biblioteca,recurso,Escala MEEM,ferramenta,renderiza,2
calculadora,recurso,Escala MEOWS,ferramenta,renderiza,3
artigo,recurso,Escala MEOWS,ferramenta,renderiza,1
quiz,recurso,Escala MEOWS,ferramenta,renderiza,2
guia_bolso,recurso,Escala MEOWS,ferramenta,renderiza,1
flashcards,recurso,Escala MEOWS,ferramenta,renderiza,1
caso_clinico,recurso,Escala MEOWS,ferramenta,renderiza,2
checklist,recurso,Escala MEOWS,ferramenta,renderiza,2
slides,recurso,Escala MEOWS,ferramenta,renderiza,1
infografico,recurso,Escala MEOWS,ferramenta,renderiza,1
biblioteca,recurso,Escala MEOWS,ferramenta,renderiza,2
calculadora,recurso,Escala Manchester,ferramenta,renderiza,3
artigo,recurso,Escala Manchester,ferramenta,renderiza,1
quiz,recurso,Escala Manchester,ferramenta,renderiza,2
guia_bolso,recurso,Escala Manchester,ferramenta,renderiza,1
flashcards,recurso,Escala Manchester,ferramenta,renderiza,1
caso_clinico,recurso,Escala Manchester,ferramenta,renderiza,2
checklist,recurso,Escala Manchester,ferramenta,renderiza,2
slides,recurso,Escala Manchester,ferramenta,renderiza,1
infografico,recurso,Escala Manchester,ferramenta,renderiza,1
biblioteca,recurso,Escala Manchester,ferramenta,renderiza,2
calculadora,recurso,Escala MoCA,ferramenta,renderiza,3
artigo,recurso,Escala MoCA,ferramenta,renderiza,1
quiz,recurso,Escala MoCA,ferramenta,renderiza,2
guia_bolso,recurso,Escala MoCA,ferramenta,renderiza,1
flashcards,recurso,Escala MoCA,ferramenta,renderiza,1
caso_clinico,recurso,Escala MoCA,ferramenta,renderiza,2
checklist,recurso,Escala MoCA,ferramenta,renderiza,2
slides,recurso,Escala MoCA,ferramenta,renderiza,1
infografico,recurso,Escala MoCA,ferramenta,renderiza,1
biblioteca,recurso,Escala MoCA,ferramenta,renderiza,2
calculadora,recurso,Escala NEWS,ferramenta,renderiza,3
artigo,recurso,Escala NEWS,ferramenta,renderiza,1
quiz,recurso,Escala NEWS,ferramenta,renderiza,2
guia_bolso,recurso,Escala NEWS,ferramenta,renderiza,1
flashcards,recurso,Escala NEWS,ferramenta,renderiza,1
caso_clinico,recurso,Escala NEWS,ferramenta,renderiza,2
checklist,recurso,Escala NEWS,ferramenta,renderiza,2
slides,recurso,Escala NEWS,ferramenta,renderiza,1
infografico,recurso,Escala NEWS,ferramenta,renderiza,1
biblioteca,recurso,Escala NEWS,ferramenta,renderiza,2
calculadora,recurso,Escala NIHSS,ferramenta,renderiza,3
artigo,recurso,Escala NIHSS,ferramenta,renderiza,1
quiz,recurso,Escala NIHSS,ferramenta,renderiza,2
guia_bolso,recurso,Escala NIHSS,ferramenta,renderiza,1
flashcards,recurso,Escala NIHSS,ferramenta,renderiza,1
caso_clinico,recurso,Escala NIHSS,ferramenta,renderiza,2
checklist,recurso,Escala NIHSS,ferramenta,renderiza,2
slides,recurso,Escala NIHSS,ferramenta,renderiza,1
infografico,recurso,Escala NIHSS,ferramenta,renderiza,1
biblioteca,recurso,Escala NIHSS,ferramenta,renderiza,2
calculadora,recurso,Escala NIPS,ferramenta,renderiza,3
artigo,recurso,Escala NIPS,ferramenta,renderiza,1
quiz,recurso,Escala NIPS,ferramenta,renderiza,2
guia_bolso,recurso,Escala NIPS,ferramenta,renderiza,1
flashcards,recurso,Escala NIPS,ferramenta,renderiza,1
caso_clinico,recurso,Escala NIPS,ferramenta,renderiza,2
checklist,recurso,Escala NIPS,ferramenta,renderiza,2
slides,recurso,Escala NIPS,ferramenta,renderiza,1
infografico,recurso,Escala NIPS,ferramenta,renderiza,1
biblioteca,recurso,Escala NIPS,ferramenta,renderiza,2
calculadora,recurso,Escala Norton,ferramenta,renderiza,3
artigo,recurso,Escala Norton,ferramenta,renderiza,1
quiz,recurso,Escala Norton,ferramenta,renderiza,2
guia_bolso,recurso,Escala Norton,ferramenta,renderiza,1
flashcards,recurso,Escala Norton,ferramenta,renderiza,1
caso_clinico,recurso,Escala Norton,ferramenta,renderiza,2
checklist,recurso,Escala Norton,ferramenta,renderiza,2
slides,recurso,Escala Norton,ferramenta,renderiza,1
infografico,recurso,Escala Norton,ferramenta,renderiza,1
biblioteca,recurso,Escala Norton,ferramenta,renderiza,2
calculadora,recurso,Escala Numerica Dor,ferramenta,renderiza,3
artigo,recurso,Escala Numerica Dor,ferramenta,renderiza,1
quiz,recurso,Escala Numerica Dor,ferramenta,renderiza,2
guia_bolso,recurso,Escala Numerica Dor,ferramenta,renderiza,1
flashcards,recurso,Escala Numerica Dor,ferramenta,renderiza,1
caso_clinico,recurso,Escala Numerica Dor,ferramenta,renderiza,2
checklist,recurso,Escala Numerica Dor,ferramenta,renderiza,2
slides,recurso,Escala Numerica Dor,ferramenta,renderiza,1
infografico,recurso,Escala Numerica Dor,ferramenta,renderiza,1
biblioteca,recurso,Escala Numerica Dor,ferramenta,renderiza,2
calculadora,recurso,Escala OFRAS,ferramenta,renderiza,3
artigo,recurso,Escala OFRAS,ferramenta,renderiza,1
quiz,recurso,Escala OFRAS,ferramenta,renderiza,2
guia_bolso,recurso,Escala OFRAS,ferramenta,renderiza,1
flashcards,recurso,Escala OFRAS,ferramenta,renderiza,1
caso_clinico,recurso,Escala OFRAS,ferramenta,renderiza,2
checklist,recurso,Escala OFRAS,ferramenta,renderiza,2
slides,recurso,Escala OFRAS,ferramenta,renderiza,1
infografico,recurso,Escala OFRAS,ferramenta,renderiza,1
biblioteca,recurso,Escala OFRAS,ferramenta,renderiza,2
calculadora,recurso,Escala PAINAD,ferramenta,renderiza,3
artigo,recurso,Escala PAINAD,ferramenta,renderiza,1
quiz,recurso,Escala PAINAD,ferramenta,renderiza,2
guia_bolso,recurso,Escala PAINAD,ferramenta,renderiza,1
flashcards,recurso,Escala PAINAD,ferramenta,renderiza,1
caso_clinico,recurso,Escala PAINAD,ferramenta,renderiza,2
checklist,recurso,Escala PAINAD,ferramenta,renderiza,2
slides,recurso,Escala PAINAD,ferramenta,renderiza,1
infografico,recurso,Escala PAINAD,ferramenta,renderiza,1
biblioteca,recurso,Escala PAINAD,ferramenta,renderiza,2
calculadora,recurso,Escala PELOD,ferramenta,renderiza,3
artigo,recurso,Escala PELOD,ferramenta,renderiza,1
quiz,recurso,Escala PELOD,ferramenta,renderiza,2
guia_bolso,recurso,Escala PELOD,ferramenta,renderiza,1
flashcards,recurso,Escala PELOD,ferramenta,renderiza,1
caso_clinico,recurso,Escala PELOD,ferramenta,renderiza,2
checklist,recurso,Escala PELOD,ferramenta,renderiza,2
slides,recurso,Escala PELOD,ferramenta,renderiza,1
infografico,recurso,Escala PELOD,ferramenta,renderiza,1
biblioteca,recurso,Escala PELOD,ferramenta,renderiza,2
calculadora,recurso,Escala PEWS,ferramenta,renderiza,3
artigo,recurso,Escala PEWS,ferramenta,renderiza,1
quiz,recurso,Escala PEWS,ferramenta,renderiza,2
guia_bolso,recurso,Escala PEWS,ferramenta,renderiza,1
flashcards,recurso,Escala PEWS,ferramenta,renderiza,1
caso_clinico,recurso,Escala PEWS,ferramenta,renderiza,2
checklist,recurso,Escala PEWS,ferramenta,renderiza,2
slides,recurso,Escala PEWS,ferramenta,renderiza,1
infografico,recurso,Escala PEWS,ferramenta,renderiza,1
biblioteca,recurso,Escala PEWS,ferramenta,renderiza,2
calculadora,recurso,Escala PRISM,ferramenta,renderiza,3
artigo,recurso,Escala PRISM,ferramenta,renderiza,1
quiz,recurso,Escala PRISM,ferramenta,renderiza,2
guia_bolso,recurso,Escala PRISM,ferramenta,renderiza,1
flashcards,recurso,Escala PRISM,ferramenta,renderiza,1
caso_clinico,recurso,Escala PRISM,ferramenta,renderiza,2
checklist,recurso,Escala PRISM,ferramenta,renderiza,2
slides,recurso,Escala PRISM,ferramenta,renderiza,1
infografico,recurso,Escala PRISM,ferramenta,renderiza,1
biblioteca,recurso,Escala PRISM,ferramenta,renderiza,2
calculadora,recurso,Escala Ramsay,ferramenta,renderiza,3
artigo,recurso,Escala Ramsay,ferramenta,renderiza,1
quiz,recurso,Escala Ramsay,ferramenta,renderiza,2
guia_bolso,recurso,Escala Ramsay,ferramenta,renderiza,1
flashcards,recurso,Escala Ramsay,ferramenta,renderiza,1
caso_clinico,recurso,Escala Ramsay,ferramenta,renderiza,2
checklist,recurso,Escala Ramsay,ferramenta,renderiza,2
slides,recurso,Escala Ramsay,ferramenta,renderiza,1
infografico,recurso,Escala Ramsay,ferramenta,renderiza,1
biblioteca,recurso,Escala Ramsay,ferramenta,renderiza,2
calculadora,recurso,Escala Richmond (RASS),ferramenta,renderiza,3
artigo,recurso,Escala Richmond (RASS),ferramenta,renderiza,1
quiz,recurso,Escala Richmond (RASS),ferramenta,renderiza,2
guia_bolso,recurso,Escala Richmond (RASS),ferramenta,renderiza,1
flashcards,recurso,Escala Richmond (RASS),ferramenta,renderiza,1
caso_clinico,recurso,Escala Richmond (RASS),ferramenta,renderiza,2
checklist,recurso,Escala Richmond (RASS),ferramenta,renderiza,2
slides,recurso,Escala Richmond (RASS),ferramenta,renderiza,1
infografico,recurso,Escala Richmond (RASS),ferramenta,renderiza,1
biblioteca,recurso,Escala Richmond (RASS),ferramenta,renderiza,2
calculadora,recurso,Escala SAPS III,ferramenta,renderiza,3
