arquivo;backdrop_blur;drop_shadow;blur_pesado;shadow_pesado;font_inter;h1_font_sans;body_font_sans;nunito_preloads_ociosos;imgs_total;imgs_sem_lazy;imgs_sem_alt;imgs_sem_decoding
en\escalanumerica.html;0;0;0;0;0;1;1;0;0;0;0;0
en\escalas-de-enfermagem\centro-cirurgico\index.html;1;0;1;1;0;0;1;1;0;0;0;0
en\escalas-de-enfermagem\dor\index.html;1;0;1;1;0;0;1;1;0;0;0;0
en\escalas-de-enfermagem\funcionalidade\index.html;1;0;1;1;0;0;1;1;0;0;0;0
en\escalas-de-enfermagem\geriatria\index.html;1;0;1;1;0;0;1;1;0;0;0;0
en\escalas-de-enfermagem\gestao\index.html;1;0;1;1;0;0;1;1;0;0;0;0
en\escalas-de-enfermagem\index.html;1;0;1;1;0;0;1;1;0;0;0;0
en\escalas-de-enfermagem\lesao-por-pressao\index.html;1;0;1;1;0;0;1;1;0;0;0;0
en\escalas-de-enfermagem\neonatologia\index.html;1;0;1;1;0;0;1;1;0;0;0;0
en\escalas-de-enfermagem\neurologia\index.html;1;0;1;1;0;0;1;1;0;0;0;0
en\escalas-de-enfermagem\obstetricia\index.html;1;0;1;1;0;0;1;1;0;0;0;0
en\escalas-de-enfermagem\pneumologia\index.html;1;0;1;1;0;0;1;1;0;0;0;0
en\escalas-de-enfermagem\seguranca-do-paciente\index.html;1;0;1;1;0;0;1;1;0;0;0;0
en\escalas-de-enfermagem\terapia-intensiva\index.html;1;0;1;1;0;0;1;1;0;0;0;0
en\escalas-de-enfermagem\urgencia-emergencia\index.html;1;0;1;1;0;0;1;1;0;0;0;0
en\exames_laboratoriais.html;0;0;0;0;0;1;1;0;0;0;0;0
en\fale.html;0;0;0;0;0;1;1;0;0;0;0;0
en\fast.html;0;0;0;0;0;1;1;0;0;0;0;0
en\flacc.html;0;0;0;0;0;1;1;0;0;0;0;0
en\formulario-saep-enfermagem.html;0;0;0;0;0;1;1;0;0;0;0;0
en\forum-enfermagem.html;0;0;0;0;0;0;0;0;7;3;0;5
en\four.html;0;0;0;0;0;1;1;0;0;0;0;0
en\fugulin.html;0;0;0;0;0;1;1;0;0;0;0;0
en\gasometria.html;0;0;0;0;0;1;1;0;0;0;0;0
en\gds.html;0;0;0;0;0;1;1;0;0;0;0;0
en\gestacional.html;0;0;0;0;0;1;1;0;0;0;0;0
