======================================================================
      RELATÓRIO DE LIMPEZA E PADRONIZAÇÃO DE HREFLANG         
======================================================================

Total de arquivos com intervenção: 1512
Total de arquivos já corretos/intactos: 20

Detalhamento por arquivo modificado:
----------------------------------------------------------------------
[PADRONIZADO] en\aldrete.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\apache.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\apgar.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\asa.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\balancohidrico.html | pt corrigido para pt-BR
[PADRONIZADO] en\ballard.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\barthel.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\berg.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\bishop.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\bps.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\braden.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\cam.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\capurro.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\checagem.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\cincinnati.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\copsoq3.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\cornell.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\cries.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\curb-65.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\diagnosticosnanda.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\downes.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\downton.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\elpo.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\entenda_copsoq.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\exames_laboratoriais.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\fale.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\fast.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\flacc.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\four.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\fugulin.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\gasometria.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\gds.html | pt-br corrigido para pt-BR
